Table_Name	Field_Name	Description	Type_(MS_Access_numeric_type)	Size_(MS_Access_number_of_bytes)	Type_(MS_Access_alphanumeric_type)	NFS_Lookup_table	Notes
Data: household data	hhcompa	household composition (all adults)	4	4	"Number, Long Integer"	DCV: Household Compositon (A group).txt	
Data: household data	hcxigs	household composition by income group	4	4	"Number, Long Integer"	DCV: Household composition x income group.txt	
Data: household data	dat1rec	date (first day of record keeping)	8	8	Date		Data was probably corrupted in move from original database server to MS Windows/Access system
Data: household data	doormilk	doorstep milk delivery (1 = yes 2 = no)	4	4	"Number, Long Integer"	DCV: doormilk.txt	Not used before 1999
Data: household data	frij	ownership of fridge  (1 = yes 0= not)	4	4	"Number, Long Integer"	DCV: Fridge ownership.txt	Not used from 1989 onwards
Data: household data	earners	number of earners in the household	4	4	"Number, Long Integer"		
Data: household data	occxhoh	occupation of crossover head of household	4	4	"Number, Long Integer"	DCV: Occupation class.txt	"References to ""crossover"" appear in original database field descriptors, this means where the income of the Head of household is lower than another adult in household i.e. Person 2. DCV_ OCC_OCCHOH Occupation class with unpacked descriptions.txt AS"
Data: household data	socxhoh	social occupation class of cross head of household	4	4	"Number, Long Integer"	DCV: Standard occupation class.txt	"References to ""crossover"" appear in original database field descriptors, this means where the income of the Head of household is lower than another adult in household i.e. Person 2. DCV_ OCC_OCCHOH Occupation class with unpacked descriptions.txt AS"
Data: household data	dactxhoh	degree of activity of cross over head of household	4	4	"Number, Long Integer"	DCV: Degree of activity.txt	"References to ""crossover"" appear in original database field descriptors, this means where the income of the Head of household is lower than another adult in household i.e. Person 2. DCV_ OCC_OCCHOH Occupation class with unpacked descriptions.txt AS"
Data: household data	szwkest	size of work establishment of head of household	4	4	"Number, Long Integer"	DCV: Size of work establishment.txt	
Data: household data	empst	employment status of head of household (1 = employed 2 = unemployed)	4	4	"Number, Long Integer"	DCV: Employment status.txt	Not populated before 1984
Data: household data	wkdy1rec	weekday (1 st day of recording) 1 = Sunday....7=Saturday	4	4	"Number, Long Integer"	DCV: Weekday (1st day of recording).txt	"All the diary facsimiles state that 1=Monday thoughout the series, yet some background documentation from MAFF/Defra states 1=Sunday. Data suggests former is correct. Care should be taken with this field. AS"
Data: household data	vegind	vegetarian indicator	4	4	"Number, Long Integer"	DCV: Vegetarian indicator.txt	
Data: household data	gornw	government office region for northwest and merseyside (1=north west/merseyside 2=other)	4	4	"Number, Long Integer"	DCV: GORNW.txt	"Merseyside was a separate Government Office Region from1994 to 1998, when it was merged into the North West England Region."
Data: household data	pernxhoh	person number cross over head of household	4	4	"Number, Long Integer"		"References to ""crossover"" appear in original database field descriptors, this means where the income of the Head of household is lower than another adult in household i.e. Person 2. DCV_ OCC_OCCHOH Occupation class with unpacked descriptions.txt AS"
Data: household data	jobsthoh	job status of head of household	4	4	"Number, Long Integer"	DCV: Job status of HOH.txt	Not used before 1994
Data: household data	incgp745	income group (1974-1975)	4	4	"Number, Long Integer"	DCV: Income group 7475.txt	1974 to 1975 only
Data: household data	withjob	with job indicator - accomodation tied to employment	4	4	"Number, Long Integer"	DCV_ WITHJOB (1998 to 2000 only).txt	Not used before 1998
Data: household data	landlord	landlord status indicator: type of landlord	4	4	"Number, Long Integer"	DCV: LANDLORD (1998 to 2000 only).txt	Not used before 1998
Data: household data	furnish	furnished indicator: is the accomodation furnished	4	4	"Number, Long Integer"	DCV: FURNISHED (1998 to 2000 only).txt	Not used before 1998
Data: household data	benefits	Benefit indicator	4	4	"Number, Long Integer"		"In receipt of  Income Supplement, Housing Benefit or Working Family Tax Credit = 1, Not in receipt of any of these benefits = 0"
