soc	description
542	VEHICLE BODY REPAIRERS PANEL BEATERS
543	AUTO ELECTRICIANS
544	TYRE & EXHAUST FITTERS
550	WEAVERS
551	KNITTERS
552	WARP PREPARERS BLEACHERS DYERS & FINISHR
553	SEWING MACHINISTS MENDERS DARNERS&EMBROD
554	COACH TRIMMERS UPHOLSTERERS & MATTRESS
555	SHOE REP LEATHER CUTTERS & SEWERS ETC
556	TAILORS & DRESSMAKERS
557	CLOTHING CUTTERS MILLINERS FURRIERS
559	OTHER TEXTILES GARMENTS& REL TRADES NEC
560	ORIGINATORS COMPOSITORS AND PRINT PREPS
561	PRINTERS
562	BOOKBINDERS & PRINT FINISHERS
563	SCREEN PRINTERS
569	OTHER PRINTING & RELATED TRADES NEC
570	CARPENTERS & JOINERS
571	CABINET MAKERS
572	CASE & BOX MAKERS
573	PATTERN MAKERS (MOULDS)
579	OTHER WOODWORKING TRADES NEC
580	BAKERS FLOUR CONFECTIONERS
581	BUTCHERS,MEAT CUTTERS
582	FISMONGERS,POULTRY DRESSERS
590	GLASS PRODUCT & CERAMICS MAKERS
591	GLASS PRODUCT & CERAMICS FIN & DECOR
592	DENTAL TECHNICIANS
593	MUSICAL INSTRUMENT MKRS,PIANO TUNERS
594	GARDENERS,GROUNDSMEN/GROUNDSWOMEN
595	HORTICULTURAL TRADES
596	COACH PAINTERS,OTHER SPRAY PAINTERS
597	FACE TRAINED COALMINING WORKERS ETC
598	OFFICE MACHINERY MECHANICS
599	OTHER CRAFT & RELATED OCCUPATIONS NEC
600	NCOS & OTHER RANKS,UK ARMED FORCES
601	NCOS & OTHER RANKS,FOREIGN &COMM A FORCE
610	POLICE OFFICERS (SERGEANT & BELOW)
611	FIRE SERVICE OFFICERS(LEADING FO &BELOW)
612	PRISON SERVICE OFFICERS(BELOW PRINC OFF)
613	CUSTOMS & EXCISE OFF IMMIGRATION OFF
614	TRAFFIC WARDENS
615	SECURITY GUARDS & RELATED OCCUPATIONS
619	OTHER SECURITY & PROTECT SER OCCUP NEC
620	CHEFS, COOKS
621	WAITERS, WAITRESSES
622	BAR STAFF
630	TRAVEL & FLIGHT ATTENDANTS
631	RAILWAY STATION STAFF
640	ASSISTANT NURSES,NURSING AUXILIARIES
641	HOSPITAL WARD ASSISTANTS
642	AMBULANCE STAFF
643	DENTAL NURSES
644	CARE ASSISTANTS & ATTENDANTS
650	NURSERY NURSES
651	PLAYGROUP LEADERS
652	EDUCATIONAL ASSISTANTS
659	OTHER CHILDCARE & RELATED OCCUPATION NEC
660	HAIRDRESSERS, BARBERS
661	BEAUTICIANS & RELATED OCCUPATIONS
670	DOMESTIC HOUSEKEEPERS & RELATED OCCUP
671	HOUSEKEEPERS (NON-DOMESTIC)
672	CARETAKERS
673	LAUNDERERS, DRY CLEANERS PRESSERS
690	UNDERTAKERS
691	BOOKMAKERS
699	OTHER PERSONAL & PROTECTIVE SER OCCUP
700	BUYERS (RETAIL TRADE)
701	BUYERS & PURCHASING OFFICERS(NOT RETAIL)
702	IMPORTERS & EXPORTERS
703	AIR, COMMODITY & SHIP BROKERS
710	TECHNICAL & WHOLESALE SALES REPS
719	OTHER SALES REPRESENTATIVES NEC
720	SALES ASSISTANTS
721	RETAIL CASH & CHECKOUT OPERATORS
722	PETROL PUMP FORECOURT ATTENDANTS
730	COOLECTOR SALESPERSONS & CREDIT AGENTS
731	ROUNDSMEN/WOMEN & VAN SALESPERSONS
732	MARKET & STREET TRADERS & ASSISTANTS
733	SCRAP DEALERS, SCRAP METAL MERCHANTS
790	MERCHANDISERS
791	WINDOW DRESSERS,FLORAL ARRANGERS
792	TELEPHONE SALESPERSONS
800	BAKERY & CONFECTIONERY PROCESS OPERATIVE
801	BREWERY & VINERY PROCESS OPERATIVES
802	TOBACCO PROCESS OPERATIVES
809	OTH FOOD DRINK & TOBACCO PROCESS OPERS
810	TANNERY PRODUCTION OPERATIVES
811	PREPARATORY FIBRE PROCESSORS
812	SPINNERS, DOUBLERS, TWISTERS
813	WINDERS, REELERS
814	OTH TEXTILES PROCESSING OPERATIVES
820	CHEMICAL,GAS & PETROL PROCESS PLANT OPS
821	PAPER & WOOD PROCESS PLANT OPERATORS
822	CUTTING & SLITTING MACHINE OPERATIVES
823	GLASS & CERAMICS FURNACE OPERATIVES KILN
824	RUBBER PROCESS OPERATIVES MOULD MACH OPS
825	PLASTIC PROCESS OPERATIVES MOULDERS &EXT
826	SYNTHETIC FIBRE MAKERS
829	OTHER CHEMICALS,PAPER,PLASTIC PROC OPS
830	FURNACE OPERATIVES (METAL)
831	METAL DRAWERS
832	ROLLERS
833	ANNEALERS,HARDENERS,TEMPERERS (METAL)
834	ELECTROPLATERS,GALVANISERS,COL COATERS
839	OTH METAL MAKING * TREATING PROC OPERS
840	MACHINE TOOL OPERATIVES (INC CNC)
841	PRESS STAMPING & AUTO MACHINE OPERATIVES
842	METAL POLISHERS
843	METAL DRESSING OPERATIVES
844	SHOT BLASTERS
850	ASSEMBLERS/LINEWORKERS (ELECTRICAL)
851	ASSEMBLERS/LINEWORKERS (VEHICLES)
859	OTHER ASSEMBLERS/LINEWORKERS NEC
860	INSPECTORS,VIEWERS & TESTERS(METAL&ELEC)
861	INSPECTORS,VIEWERS,TESTERS & EXAM(OTHER)
862	PACKERS,BOTTLERS,CANNERS,FILLERS
863	WEIGHERS,GRADERS,SORTERS
864	ROUTINE LABORATORY TESTERS
869	OTHER ROUTINE PROCESS OPERATIVES NEC
870	BUS INSPECTORS
871	ROAD TRANSPORT DEPOT INSPEC & REL OCC
872	DRIVERS OF ROAD GOODS VEHICLES
873	BUS & COACH DRIVERS
874	TAXI,CAB DRIVERS & CHAUFFEURS
875	BUS CONDUCTORS
880	SEAFARERS(MERCH NAVY)BARGE,LIGHT,BOAT_OP
881	RAIL TRANSPORT INSPEC SUPERV & GUARDS
882	RAIL ENGINE DRIVERS & ASSISTANTS
883	RAIL SIGNAL OPERATIVES &CROSSING KEEPERS
884	SHUNTERS & POINTS OPERATIVES
885	MECHANICAL PLANT DRIV & OPS (EARTH MOV)
886	CRANE DRIVERS
887	FORK LIFT & MECHANICAL TRUCK DRIVERS
889	OTHER TRANSPORT & MACHINERY OPS NEC
890	WASHERS,SCREENERS & CRUSHERS IN MINES&QU
891	PRINTING MACHINE MINDERS & ASSISTANTS
892	WATER & SEWERAGE PLANT ATTENDANTS
893	ELECTRICAL ENERGY,BOILER & REL PLANT OPS
894	OILERS,GREASERS,LUBRICATORS
895	MAINS& SERVICE PIPE LAYERS,PIPE JOINERS
896	CONSTRUCTION & RELATED OPERATIVES
897	WOODWORKING MACHINE OPERATIVES
898	MINE(EXCLUDING COAL) & QUARRY WORKERS
899	OTHER PLANT & MACHINE OPERATIVES NEC
900	FARM WORKERS
901	AGRICULTUTRAL MACHINERY DRIVERS & OPS
902	ALL OTHER OCCUPATIONS IN FARMING & REL
903	FISHING & RELATED WORKERS
904	FORESTRY WORKERS
910	COAL MINE LABOURERS
911	LABOURERS IN FOUNDRIES
912	LABOURERS IN ENGINEERING & ALLIED TRADES
913	MATES TO METAL/ELECTRICAL & REL FITTERS
919	OTHER LABOURERS IN MAKING & PROC IND NEC
920	MATES TO WOODWORKING TRADES WORKERS
921	MATES TO BUILDING TRADES WORKERS
922	RAIL CONSTRUCTION & MAINTENANCE WORKERS
923	ROAD CONSTRUCTION & MAINTENANCE WORKERS
924	PAVIOURS & KERB LAYERS
929	OTH BUILDING & CIVIL ENGINEER LABOURERS
930	STEVEDORES & DOCKERS
931	GOODS PORTERS
932	SLINGERS
933	REFUSE & SALVAGE COLLECTORS
934	DRIVERS MATES
940	POSTAL WORKERS,MAIL SORTERS
941	MESSENGERS & COURIERS
950	HOSPITAL PORTERS
951	HOTEL PORTERS
952	KITCHEN PORTERS/HANDS
953	COUNTERHANDS & CATERING ASSISTANTS
954	SHELF FILLERS
955	LIFT & CAR PARK ATTENDANTS
956	WINDOW CLEANERS
957	ROAD SWEEPERS
958	CLEANERS & DOMESTICS
959	OTH OCCUPATIONS IN SALES & SERVICES NEC
990	ALL OTH LABOURERS & RELATED WORKERS
998	EMPLOYED (BUT INADEQUATELY DESCRIBED)
999	ALL OTH IN MISCELLANEOUS OCCUPATIONS NEC
