occ	description	unpacked description
1453	P SKD FOREMEN MAKERS OTH PROD RUB PLSTCS	Partly Skilled, Foremen, Makers of Other Products in Rubber & Plastics
1454	P SKD EMP NEC MAKERS OTH PROD RUB PLSTCS	Partly Skilled, Employees, not elsewhere classified, Makers of Other Products in Rubber & Plastics
1541	SKD SLF EMP CONSTRUCTION WORKERS	Skilled, Self-Employed, Construction Workers
1542	SKD MGRS CONSTRUCTION WORKERS	Skilled, Managers, Construction Workers
1543	SKD FOREMEN CONSTRUCRTION WORKERS	Skilled, Foremen, Construction Workers
1544	SKD EMP NEC CONSTRUCTION WORKERS	Skilled, Employees, not elsewhere classified, Construction Workers
1551	P SKD SLF EMP CONSTRUCTION WORKERS	Partly Skilled, Self-Employed, Construction Workers
1552	P SKD MGRS CONSTRUCTION WORKERS	Partly Skilled, Managers, Construction Workers
1553	P SKD FOREMAN CONSTRUCTION WORKERS	Partly Skilled, Foremen, Construction Workers
1554	P SKD EMP NEC CONSTRUCTION WORKERS	Partly Skilled, Employees, not elsewhere classified, Construction Workers
1641	SKD SLF EMP PAINTERS & DECORATORS	Skilled, Self-Employed, Painters & Decorators
1642	SKD MGRS PAINTERS & DECORATORS	Skilled, Managers, Painters & Decorators
1643	SKD FOREMEN PAINTERS & DECORATORS	Skilled, Foremen, Painters & Decorators
1644	SKD EMP NEC PAINTERS & DECORATORS	Skilled, Employees, not elsewhere classified, Painters & Decorators
1651	P SKD SLF EMP PAINTERS & DECORATORS	Partly Skilled, Self-Employed, Painters & Decorators
1652	P SKD MGRS PAINTERS & DECORATORS	Partly Skilled, Managers, Painters & Decorators
1653	P SKD FOREMEN PAINTERS & DECORATORS	Partly Skilled, Foremen, Painters & Decorators
1654	P SKD EMP NEC PAINTERS & DECORATORS	Partly Skilled, Employees, not elsewhere classified, Painters & Decorators
1741	SKD SLF EMP DRIVERS STATION ENG CRANES	Skilled, Self-Employed, Drivers of Stationary Engines, Cranes etc.
1742	SKD MGRS DRIVERS STATION ENG CRANES	Skilled, Managers, Drivers of Stationary Engines, Cranes etc.
1743	SKD FOREMEN DRIVERS STATION ENG CRANES	Skilled, Foremen, Drivers of Stationary Engines, Cranes etc.
1744	SKD EMP NEC DRIVERS STATION ENG CRANES	Skilled, Employees, not elsewhere classified, Drivers of Stationary Engines, Cranes etc.
1753	P SKD FOREMEN DRIVERS STATION ENG CRANES	Partly Skilled, Foremen, Drivers of Stationary Engines, Cranes etc.
1754	P SKD EMP NEC DRIVERS STATION ENG CRANES	Partly Skilled, Employees, not elsewhere classified, Drivers of Stationary Engines, Cranes etc.
1853	P SKD FOREMEN LABOURERS & UNSKD WORKERS	Partly Skilled, Foremen, Labourers & Unskilled Workers
1854	P SKD EMP NEC LABOURERS & UNSKD WORKERS	Partly Skilled, Employees, not elsewhere classified, Labourers & Unskilled Workers
1891	UNSKD SLF EMP LABOURERS & UNSKD WORKERS	Unskilled, Self-Employed, Labourers & Unskilled Workers
1893	UNSKD FOREMEN LABOURERS & UNSKD WORKERS	Unskilled, Foremen, Labourers & Unskilled Workers
1894	UNSKD EMP NEC LABOURERS & UNSKD WORKERS	Unskilled, Employees, not elsewhere classified, Labourers & Unskilled Workers
1921	INT OCC SLF EMP TRNSPRT & COMM WORKERS	Intermediate Occupations, Self-Employed, Transport & Unskilled Communications Workers
1922	INT OCC MGRS TRNSPRT & COMM WORKERS	Intermediate Occupations, Managers, Transport, & Communications Workers
1923	INT OCC FOREMEN TRNSPRT & COMM WORKERS	Intermediate Occupations, Foremen, Transport & Communications Workers
1924	INT OCC EMP NEC TRNSPRT & COMM WORKERS	Intermediate Occupations, Employees, not elsewhere classified, Transport & Communications Workers
1941	SKD SLF EMP TRNSPRT & COMM WORKERS	Skilled, Self-Employed, Transport & Communications Workers
1942	SKD MGRS TRNSPRT & COMM WORKERS	Skilled, Managers, Transport & Communications Workers
1943	SKD FOREMEN TRNSPRT & COMM WORKERS	Skilled, Foremen, Transport & Communications Workers
1944	SKD EMP NEC TRNSPRT & COMM WORKERS	Skilled Employees, not elsewhere classified, Transport & Communications Workers
1951	P SKD SLF EMP TRNSPRT & COMM WORKERS	Partly Skilled, Self-Employed, Transport & Communications Workers
1952	P SKD MGRS TRNSPRT & COMM WORKERS	Partly Skilled, Managers, Transport & Communications Workers
1953	P SKD FOREMEN TRNSPRT & COMM WORKERS	Partly Skilled, Foremen, Transport & Communications Workers
1954	P SKD EMP NEC TRNSPRT & COMM WORKERS	Partly Skilled Employees, not elsewhere classified, Transport & Communications Workers
1991	UNSKD SLF EMP TRNSPRT & COMM WORKERS	Unskilled, Self-Employed, Transport & Communications Workers
1992	UNSKD MGRS TRNSPRT & COMM WORKERS	Unskilled, Managers, Transport & Communications Workers
1993	UNSKD FOREMEN TRNSPRT & COMM WORKERS	Unskilled, Foremen, Transport & Communications Workers
1994	UNSKD EMP NEC TRNSPRT & COMM WORKERS	Unskilled Employees, not elsewhere classified, Transport & Communications, Workers
2051	P SKD SLF EMP WHOUS STKEEPRS PCKS BOTTLS	Partly Skilled, Self-Employed, Warehousemen, Storekeepers, Packers, Bottlers
2052	P SKD MGRS WHOUS STKEEPRS PCKS BOTTLS	Partly Skilled, Managers, Warehousemen, Storekeepers, Packers, Bottlers
2053	P SKD FOREMEN WHOUS STKEEPRS PCKS BOTTLS	Partly Skilled, Foremen, Warehousemen, Storekeepers, Packers, Bottlers
2054	P SKD EMP NEC WHOUS STKEEPRS PCKS BOTTLS	Partly Skilled, Employees, not elsewhere classified, Warehousemen, Storekeepers, Packers, Bottlers
2122	INT MGRS CLERICAL WORKERS	Intermediate, Managers, Clerical Workers
2123	INT FOREMEN CLERICAL WORKERS	Intermediate, Foremen, Clerical Workers
2141	SKD SLF EMP CLERICAL WORKERS	Skilled, Self-Employed, Clerical Workers
2143	SKD FOREMEN CLERICAL WORKERS	Skilled, Foremen, Clerical Workers
2144	SKD EMP NEC CLERICAL WORKERS	Skilled, Employees, not elsewhere classified, Clerical Workers
2221	INT OCC SLF EMP SALES WORKERS	Intermediate Occupations, Self-Employed, Sales Workers
2222	INT OCC MGRS SALES WORKERS	Intermediate Occupations, Managers, Sales Workers
2241	SKD SLF EMP SALES WORKERS	Skilled, Self-Employed, Sales Workers
2242	SKD MGRS SALES WORKERS	Skilled, Managers, Sales Workers
2243	SKD FOREMEN SALES WORKERS	Skilled, Foremen, Sales Workers
2244	SKD EMP NEC SALES WORKERS	Skilled, Employees, not elsewhere classified, Sales Workers
2251	P SKD SLF EMP SALES WORKERS	Partly Skilled, Self-Employed, Sales Workers
2252	P SKD MGRS SALES WORKERS	Partly Skilled, Managers, Sales Workers
2253	P SKD FOREMEN SALES WORKERS	Partly Skilled, Foremen, Sales Workers
2254	P SKD EMP NEC SALES WORKERS	Partly Skilled, Employees, Sales Workers
2321	INT OCC SLF EMP SERV SPORT & REC WORKERS	Intermediate Occupations, Self-Employed, Service, Sport & Recreation Workers
2322	INT OCC MGRS SERV SPORT & REC WORKERS	Intermediate Occupations, Managers, Service, Sport & Recreation Workers
2323	INT OCC FOREMEN SERV SPORT & REC WORKERS	Intermediate Occupations, Foremen, Service, Sport & Recreation Workers
2324	INT OCC EMP NEC SERV SPORT & REC WORKERS	Intermediate Occupations, Employees, not elsewhere classified, Service, Sport & Recreation Workers
2341	SKD SLF EMP SERV SPORT & REC WORKERS	Skilled, Self-Employed, Service, Sport & Recreation Workers
2342	SKD MGRS SERV SPORT & REC WORKERS	Skilled, Managers, Service, Sport & Recreation Workers
2343	SKD FOREMEN SERV SPORT & REC WORKERS	Skilled, Foremen, Service, Sport & Recreation Workers
2344	SKD EMP NEC SERV SPORT & REC WORKERS	Skilled, Employees, not elsewhere classified, Service, Sport & Recreation Workers
2351	P SKD SLF EMP SERV SPORT & REC WORKERS	Partly Skilled, Self-Employed, Service, Sport & Recreation Workers
2352	P SKD MGRS SERV SPORT & REC WORKERS	Partly Skilled, Managers, Service, Sport & Recreation Workers
2353	P SKD FOREMEN SERV SPORT & REC WORKERS	Partly Skilled, Foremen, Service, Sport & Recreation Workers
2354	P SKD EMP NEC SERV SPORT & REC WORKERS	Partly Skilled, Employees, not elsewhere classified, Service, Sport & Recreation Workers
2391	UNSKD SLF EMP SERV SPORT & REC WORKERS	Unskilled, Self-Employed, Service, Sport & Recreation Workers
2392	UNSKD MGRS SERV SPORT & REC WORKERS	Unskilled, Managers, Service, Sport & Recreation Workers
2393	UNSKD FOREMEN SERV SPORT & REC WORKERS	Unskilled, Foremen, Service, Sport & Recreation Workers
2394	UNSKD EMP NEC SERV SPORT & REC WORKERS	Unskilled, Employees, not elsewhere classified, Service, Sport & Recreation Workers
2422	INT OCC MGRS ADMINISTRATION AND MANAGERS	Intermediate Occupations, Managers, Administrators & Managers
2511	PROF SLF EMP PROF TECH WRKS ARTISTS	Professional, Self-Employed, Professional, Technical Workers, Artists
2514	PROF EMP NEC PROF TECH WRKS ARTISTS	Professional, Employees, not elsewhere classified, Professional, Technical Workers, Artists
2521	INT OCC SLF EMP PROF TECH WRKS ARTISTS	Intermediate Occupations, Self-Employed, Professional, Technical Workers, Artists
2522	INT OCC MGRS PROF TECH WRKS ARTISTS	Intermediate Occupations, Managers, Professional, Technical Workers, Artists
2523	INT OCC FOREMEN PROF TECH WRKS ARTISTS	Intermediate Occupations, Foremen, Professional, Technical Workers, Artists
2524	INT OCC EMP NEC PROF TECH WRKS ARTISTS	Intermediate Occupations, Employees, not elsewhere classified, Professional, Technical Workers, Artists
2541	SKD SLF EMP PROF TECH WRKS ARTISTS	Skilled, Self-Employed, Professional, Technical Workers, Artists
2542	SKD MGRS PROF TECH WRKS ARTISTS	Skilled, Managers, Professional, Technical Workers, Artists
2543	SKD FOREMEN PROF TECH WRKS ARTISTS	Skilled, Foremen, Professional, Technical Workers, Artists
2544	SKD EMP NEC PROF TECH WRKS ARTISTS	Skilled, Employees, not elsewhere classified, Professional, Technical Workers, Artists
2604	ARMED FORCES EMP NEC ARMED FORCES B & F	Armed Forces, Employees, not elsewhere classified, Armed Forces, British & Foreign
9935	UNOCC MAJ INC OAP RET/UNEMP	Unoccupied, Majority of Income is from Old Age Pension, Retired/Unemployed
9945	UNOCC MAJ INC STATE PEN RET/UNEMP	Unoccupied, Majority of Income is from Other State Pensions, Retired/Unemployed
9955	RET UNOCC MAJ INC NSTATE RET/UNEMP	Retired and Unoccupied Where Majority of Income Is Not From The State, Retired/Unemployed
9965	UNEMP/SICK MAJ INC N.I RET/UNEMP	Unemployed/Sick, Majority of Income is from National Insurance Benefit, Retired/Unemployed
9975	UNEMP/SICK MAJ INC NOT N.I RET/UNEMP	Unemployed/Sick, Majority of Income Is Not From National Insurance Benefit, Retired/Unemployed
9985	NONEARNERS WIVES CHILDREN RET/UNEMP	Non-earners, Wives, Children, Retired/Unemployed
9995	NO-INFO AND VISITORS 16+ RET/UNEMP	No-information & Visitors 16+, Retired/Unemployed
